drug_id,drug_name,target_id,target_uniprot,target_name,target_gene,action,atc_codes
DB00572,Atropine,,P11229,Muscarinic acetylcholine receptor M1,CHRM1,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P08172,Muscarinic acetylcholine receptor M2,CHRM2,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P20309,Muscarinic acetylcholine receptor M3,CHRM3,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P08173,Muscarinic acetylcholine receptor M4,CHRM4,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P08912,Muscarinic acetylcholine receptor M5,CHRM5,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P23415,Glycine receptor subunit alpha-1,GLRA1,antagonist,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P43681,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,,S01FA01;A03CB03;A03BA01
DB00572,Atropine,,P17787,Neuronal acetylcholine receptor subunit beta-2,CHRNB2,,S01FA01;A03CB03;A03BA01
DB00573,Fenoprofen,,P35354,Prostaglandin G/H synthase 2,PTGS2,inhibitor,M01AE04
DB00573,Fenoprofen,,Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,activator,M01AE04
DB00573,Fenoprofen,,P37231,Peroxisome proliferator-activated receptor gamma,PPARG,,M01AE04
DB00573,Fenoprofen,,P23219,Prostaglandin G/H synthase 1,PTGS1,inhibitor,M01AE04
DB00574,Fenfluramine,,P31645,Sodium-dependent serotonin transporter,SLC6A4,substrate,A08AA02;N03AX26
DB00574,Fenfluramine,,P31645,Sodium-dependent serotonin transporter,SLC6A4,inhibitor,A08AA02;N03AX26
DB00574,Fenfluramine,,P28221,5-hydroxytryptamine receptor 1D,HTR1D,agonist,A08AA02;N03AX26
DB00574,Fenfluramine,,P28335,5-hydroxytryptamine receptor 2C,HTR2C,agonist,A08AA02;N03AX26
DB00574,Fenfluramine,,Q99720,Sigma non-opioid intracellular receptor 1,SIGMAR1,antagonist,A08AA02;N03AX26
DB00574,Fenfluramine,,P28223,5-hydroxytryptamine receptor 2A,HTR2A,agonist,A08AA02;N03AX26
DB00574,Fenfluramine,,P41595,5-hydroxytryptamine receptor 2B,HTR2B,agonist,A08AA02;N03AX26
DB00574,Fenfluramine,,P08908,5-hydroxytryptamine receptor 1A,HTR1A,agonist,A08AA02;N03AX26
DB00575,Clonidine,,P18089,Alpha-2B adrenergic receptor,ADRA2B,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00575,Clonidine,,P18825,Alpha-2C adrenergic receptor,ADRA2C,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00575,Clonidine,,P08913,Alpha-2A adrenergic receptor,ADRA2A,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00575,Clonidine,,P35348,Alpha-1A adrenergic receptor,ADRA1A,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00575,Clonidine,,P35368,Alpha-1B adrenergic receptor,ADRA1B,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00575,Clonidine,,P25100,Alpha-1D adrenergic receptor,ADRA1D,agonist,S01EA04;C02LC01;C02AC01;N02CX02;C02LC51
DB00576,Sulfamethizole,,P0AC13,Dihydropteroate synthase,folP,inhibitor,J01EB02;B05CA04;G01AE10;S01AB01;D06BA04
DB00577,Valaciclovir,,Q9QNF7,Thymidine kinase,TK,substrate,J05AB11
DB00577,Valaciclovir,,P04293,DNA polymerase catalytic subunit,,inhibitor,J05AB11
DB00578,Carbenicillin,,P0AEB2,Penicillin-binding protein,dacA,inhibitor,J01CR50;J01CA03
DB00578,Carbenicillin,,Q47066,Beta-lactamase Toho-1,bla,substrate,J01CR50;J01CA03
DB00579,Mazindol,,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,inhibitor,A08AA05
DB00579,Mazindol,,Q01959,Sodium-dependent dopamine transporter,SLC6A3,inhibitor,A08AA05
DB00579,Mazindol,,P31645,Sodium-dependent serotonin transporter,SLC6A4,inhibitor,A08AA05
DB00579,Mazindol,,Q05940,Synaptic vesicular amine transporter,SLC18A2,,A08AA05
DB00580,Valdecoxib,,P35354,Prostaglandin G/H synthase 2,PTGS2,inhibitor,M01AH03;G01AE10
DB00580,Valdecoxib,,P00918,Carbonic anhydrase 2,CA2,inhibitor,M01AH03;G01AE10
DB00580,Valdecoxib,,P07451,Carbonic anhydrase 3,CA3,inhibitor,M01AH03;G01AE10
DB00581,Lactulose,,P06864,Evolved beta-galactosidase subunit alpha,ebgA,other,A06AD61;A06AD11
DB00582,Voriconazole,,P10613,Cytochrome P450 51,ERG11,antagonist,J02AC03
DB00582,Voriconazole,,P10613,Cytochrome P450 51,ERG11,inhibitor,J02AC03
DB00583,Levocarnitine,,P47989,Xanthine dehydrogenase/oxidase,XDH,,A16AA01
DB00583,Levocarnitine,,P23141,Liver carboxylesterase 1,CES1,,A16AA01
DB00583,Levocarnitine,,P05164,Myeloperoxidase,MPO,,A16AA01
DB00583,Levocarnitine,,P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,activator,A16AA01
DB00583,Levocarnitine,,Q9H015,Solute carrier family 22 member 4,SLC22A4,,A16AA01
DB00583,Levocarnitine,,O76082,Solute carrier family 22 member 5,SLC22A5,,A16AA01
DB00583,Levocarnitine,,P43155,Carnitine O-acetyltransferase,CRAT,,A16AA01
DB00583,Levocarnitine,,Q8N8R3,Mitochondrial carnitine/acylcarnitine carrier protein CACL,SLC25A29,,A16AA01
DB00583,Levocarnitine,,O43772,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,,A16AA01
DB00583,Levocarnitine,,Q9UKG9,Peroxisomal carnitine O-octanoyltransferase,CROT,,A16AA01
DB00583,Levocarnitine,,P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,,A16AA01
DB00584,Enalapril,,P12821,Angiotensin-converting enzyme,ACE,inhibitor,C09BA02;C09BB06;C09BB02;C09AA02
DB00585,Nizatidine,,P25021,Histamine H2 receptor,HRH2,antagonist,A02BA04
DB00586,Diclofenac,,P35354,Prostaglandin G/H synthase 2,PTGS2,inhibitor,S01CC01;S01BC03;M01AB55;M02AA15;M01AB05;D11AX18
DB00586,Diclofenac,,P23219,Prostaglandin G/H synthase 1,PTGS1,inhibitor,S01CC01;S01BC03;M01AB55;M02AA15;M01AB05;D11AX18
DB00587,Cinalukast,,Q9Y271,Cysteinyl leukotriene receptor 1,CYSLTR1,antagonist,
DB00588,Fluticasone propionate,,P04150,Glucocorticoid receptor,NR3C1,agonist,
DB00588,Fluticasone propionate,,P06401,Progesterone receptor,PGR,agonist,
DB00588,Fluticasone propionate,,P47712,Cytosolic phospholipase A2,PLA2G4A,inhibitor,
DB00588,Fluticasone propionate,,P08235,Mineralocorticoid receptor,NR3C2,antagonist,
DB00589,Lisuride,,P14416,Dopamine D2 receptor,DRD2,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P35462,Dopamine D3 receptor,DRD3,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P21917,Dopamine D4 receptor,DRD4,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P28223,5-hydroxytryptamine receptor 2A,HTR2A,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P28335,5-hydroxytryptamine receptor 2C,HTR2C,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P21728,Dopamine D1 receptor,DRD1,antagonist,G02CB02;N02CA07
DB00589,Lisuride,,P21918,Dopamine D5 receptor,DRD5,antagonist,G02CB02;N02CA07
DB00589,Lisuride,,P08908,5-hydroxytryptamine receptor 1A,HTR1A,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P28221,5-hydroxytryptamine receptor 1D,HTR1D,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P41595,5-hydroxytryptamine receptor 2B,HTR2B,antagonist,G02CB02;N02CA07
DB00589,Lisuride,,P28222,5-hydroxytryptamine receptor 1B,HTR1B,agonist,G02CB02;N02CA07
DB00589,Lisuride,,P08913,Alpha-2A adrenergic receptor,ADRA2A,other/unknown,G02CB02;N02CA07
DB00589,Lisuride,,P18089,Alpha-2B adrenergic receptor,ADRA2B,other/unknown,G02CB02;N02CA07
DB00589,Lisuride,,P18825,Alpha-2C adrenergic receptor,ADRA2C,other/unknown,G02CB02;N02CA07
DB00589,Lisuride,,P34969,5-hydroxytryptamine receptor 7,HTR7,,G02CB02;N02CA07
DB00590,Doxazosin,,P35348,Alpha-1A adrenergic receptor,ADRA1A,antagonist,C02CA04;G04CA55
DB00590,Doxazosin,,P25100,Alpha-1D adrenergic receptor,ADRA1D,antagonist,C02CA04;G04CA55
DB00590,Doxazosin,,Q12809,HERG human cardiac K+ channel,KCNH2,inhibitor,C02CA04;G04CA55
DB00590,Doxazosin,,P35368,Alpha-1B adrenergic receptor,ADRA1B,,C02CA04;G04CA55
DB00591,Fluocinolone acetonide,,P04150,Glucocorticoid receptor,NR3C1,agonist,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P04083,Annexin A1,ANXA1,inducer,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P07355,Annexin A2,ANXA2,inducer,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P12429,Annexin A3,ANXA3,inducer,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P09525,Annexin A4,ANXA4,inducer,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P08758,Annexin A5,ANXA5,inducer,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00591,Fluocinolone acetonide,,P04054,Phospholipase A2,PLA2G1B,inhibitor,S01CA10;D07BC02;S02BA08;C05AA10;S01BA15;D07AC04;S02CA05;D07CC02
DB00592,Piperazine,,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,agonist,P02CB01
DB00593,Ethosuximide,,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,inhibitor,N03AD01;N03AD51
DB00594,Amiloride,,P37088,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,inhibitor,C03DB01
DB00594,Amiloride,,P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,inhibitor,C03DB01
DB00594,Amiloride,,P51170,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,inhibitor,C03DB01
DB00594,Amiloride,,P51172,Amiloride-sensitive sodium channel subunit delta,SCNN1D,inhibitor,C03DB01
DB00594,Amiloride,,P19801,Amiloride-sensitive amine oxidase [copper-containing],AOC1,inhibitor,C03DB01
DB00594,Amiloride,,Q16515,Acid-sensing ion channel 2,ASIC2,inhibitor,C03DB01
DB00594,Amiloride,,P78348,Acid-sensing ion channel 1,ASIC1,inhibitor,C03DB01
DB00594,Amiloride,,P19634,Sodium/hydrogen exchanger 1,SLC9A1,inhibitor,C03DB01
DB00594,Amiloride,,P00749,Urokinase-type plasminogen activator,PLAU,inhibitor,C03DB01
DB00595,Oxytetracycline,,P0A7X3,30S ribosomal protein S9,rpsI,inhibitor,J01AA06;G01AA07;S01AA04;A01AB25;J01AA56;D06AA03;J01AA20
DB00595,Oxytetracycline,,P0A7V8,30S ribosomal protein S4,rpsD,inhibitor,J01AA06;G01AA07;S01AA04;A01AB25;J01AA56;D06AA03;J01AA20
DB00595,Oxytetracycline,,,16S ribosomal RNA,,inhibitor,J01AA06;G01AA07;S01AA04;A01AB25;J01AA56;D06AA03;J01AA20
DB00596,Ulobetasol,,P04150,Glucocorticoid receptor,NR3C1,agonist,D05AX55;D07AC21
DB00598,Labetalol,,P08588,Beta-1 adrenergic receptor,ADRB1,antagonist,C07BG01;C07CG01;C07AG01
DB00598,Labetalol,,P07550,Beta-2 adrenergic receptor,ADRB2,antagonist,C07BG01;C07CG01;C07AG01
DB00598,Labetalol,,P35348,Alpha-1 adrenergic receptors,ADRA1A,antagonist,C07BG01;C07CG01;C07AG01
DB00599,Thiopental,,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,potentiator,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P43681,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,antagonist,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P36544,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7,antagonist,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P42262,Glutamate receptor 2,GRIA2,antagonist,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,Q13002,"Glutamate receptor ionotropic, kainate 2",GRIK2,antagonist,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,O00519,Fatty-acid amide hydrolase 1,FAAH,inhibitor,N01AF03;N05CB01;N05CA19
DB00599,Thiopental,,P20309,Muscarinic acetylcholine receptor M3,CHRM3,,N01AF03;N05CB01;N05CA19
DB00600,Monobenzone,,P14679,Tyrosinase,TYR,inhibitor,D11AX13
DB00601,Linezolid,,,23S ribosomal RNA,,inhibitor,J01XX08
DB00603,Medroxyprogesterone acetate,,P06401,Progesterone receptor,PGR,agonist,G03AA08;G03DA02;G03FB06;G03FA12;L02AB02;G03AA17;G03AC06
DB00603,Medroxyprogesterone acetate,,P03372,Estrogen receptor alpha,ESR1,agonist,G03AA08;G03DA02;G03FB06;G03FA12;L02AB02;G03AA17;G03AC06
DB00603,Medroxyprogesterone acetate,,P08183,P-glycoprotein 1,ABCB1,inhibitor,G03AA08;G03DA02;G03FB06;G03FA12;L02AB02;G03AA17;G03AC06
DB00603,Medroxyprogesterone acetate,,P14867,GABA(A) Receptor,GABRA1,inhibitor,G03AA08;G03DA02;G03FB06;G03FA12;L02AB02;G03AA17;G03AC06
DB00604,Cisapride,,Q13639,5-hydroxytryptamine receptor 4,HTR4,agonist,A03FA02
DB00604,Cisapride,,P46098,5-hydroxytryptamine receptor 3A,HTR3A,agonist,A03FA02
DB00604,Cisapride,,P28223,5-hydroxytryptamine receptor 2A,HTR2A,agonist,A03FA02
DB00604,Cisapride,,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,inhibitor,A03FA02
DB00605,Sulindac,,P35354,Prostaglandin G/H synthase 2,PTGS2,inhibitor,M01AB02
DB00605,Sulindac,,P23219,Prostaglandin G/H synthase 1,PTGS1,inhibitor,M01AB02
DB00605,Sulindac,,P15121,Aldose reductase,AKR1B1,inhibitor,M01AB02
DB00605,Sulindac,,P27361,Mitogen-activated protein kinase 3,MAPK3,inhibitor,M01AB02
DB00605,Sulindac,,Q03181,Peroxisome proliferator-activated receptor delta,PPARD,negative modulator,M01AB02
DB00605,Sulindac,,Q9Y5Y4,Prostaglandin D2 receptor 2,PTGDR2,antagonist,M01AB02
DB00605,Sulindac,,O60218,Aldo-keto reductase family 1 member B10,AKR1B10,inhibitor,M01AB02
DB00606,Cyclothiazide,,P54710,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,inhibitor,G01AE10;C03AB09;C03AA09
DB00606,Cyclothiazide,,P00915,Carbonic anhydrase,CA1,inhibitor,G01AE10;C03AB09;C03AA09
DB00606,Cyclothiazide,,P00915,Carbonic anhydrase 1,CA1,inhibitor,G01AE10;C03AB09;C03AA09
DB00606,Cyclothiazide,,P00918,Carbonic anhydrase 2,CA2,inhibitor,G01AE10;C03AB09;C03AA09
DB00606,Cyclothiazide,,Q6FHJ7,Secreted frizzled-related protein 4,SFRP4,inhibitor,G01AE10;C03AB09;C03AA09
DB00607,Nafcillin,,Q7CRA4,Penicillin-binding protein 1b,pbp1b,inhibitor,J01CR50;J01CF06
DB00607,Nafcillin,,P0A3M6,Penicillin-binding protein 2B,penA,inhibitor,J01CR50;J01CF06
DB00607,Nafcillin,,Q8DNB6,Penicillin-binding protein 2a,pbp2a,inhibitor,J01CR50;J01CF06
DB00607,Nafcillin,,Q75Y35,Penicillin-binding protein 3,pbp3,inhibitor,J01CR50;J01CF06
DB00607,Nafcillin,,Q8DR59,Penicillin-binding protein 1A,pbpA,inhibitor,J01CR50;J01CF06
DB00608,Chloroquine,,P09210,Glutathione S-transferase A2,GSTA2,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,P01375,Tumor necrosis factor,TNF,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,Q9NR96,Toll-like receptor 9,TLR9,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,Q8ILQ7,Glutathione S-transferase,GST,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,P09429,High mobility group protein B1,HMGB1,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,P09488,Glutathione S-transferase Mu 1,GSTM1,inhibitor,P01BB52;P01BA01
DB00608,Chloroquine,,Q9BYF1,Angiotensin-converting enzyme 2,ACE2,modulator,P01BB52;P01BA01
DB00609,Ethionamide,,P9WGR1,Enoyl-[acyl-carrier-protein] reductase [NADH],inhA,inhibitor,J04AD03
DB00609,Ethionamide,,P9WIE5,Catalase-peroxidase,katG,other/unknown,J04AD03
DB00610,Metaraminol,,P35348,Alpha-1A adrenergic receptor,ADRA1A,agonist,C01CA09
DB00611,Butorphanol,,P41145,Kappa-type opioid receptor,OPRK1,agonist,N02AF01
DB00611,Butorphanol,,P41143,Delta-type opioid receptor,OPRD1,agonist,N02AF01
DB00611,Butorphanol,,P35372,Mu-type opioid receptor,OPRM1,antagonist,N02AF01
DB00612,Bisoprolol,,P08588,Beta-1 adrenergic receptor,ADRB1,antagonist,C07FX04;C07BB07;C07AB07;C09BX05;C09BX02;C09BX04;C07FB07
DB00612,Bisoprolol,,P07550,Beta-2 adrenergic receptor,ADRB2,antagonist,C07FX04;C07BB07;C07AB07;C09BX05;C09BX02;C09BX04;C07FB07
DB00613,Amodiaquine,,,Fe(II)-protoporphyrin IX,,binder,P01BF03;P01BA06
DB00613,Amodiaquine,,P50135,Histamine N-methyltransferase,HNMT,inhibitor,P01BF03;P01BA06
DB00614,Furazolidone,,,DNA,,cross-linking/alkylation,G01AX06;P01AB51
DB00615,Rifabutin,,P0A7Z4,DNA-directed RNA polymerase subunit alpha,rpoA,inhibitor,J04AB04;A02BD16
DB00615,Rifabutin,,P0A8V2,DNA-directed RNA polymerase subunit beta,rpoB,inhibitor,J04AB04;A02BD16
DB00615,Rifabutin,,P0A8T7,DNA-directed RNA polymerase subunit beta',rpoC,inhibitor,J04AB04;A02BD16
DB00615,Rifabutin,,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,other/unknown,J04AB04;A02BD16
DB00615,Rifabutin,,P14625,Endoplasmin,HSP90B1,other/unknown,J04AB04;A02BD16
DB00616,Candoxatril,,P08473,Neprilysin,MME,inhibitor,
DB00616,Candoxatril,,P12821,Angiotensin-converting enzyme,ACE,inhibitor,
DB00617,Paramethadione,,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,inhibitor,N03AC01
DB00618,Demeclocycline,,,30S ribosomal protein,,inhibitor,J01AA01;D06AA01;J01AA20
DB00618,Demeclocycline,,P30518,Vasopressin V2 receptor,AVPR2,inhibitor,J01AA01;D06AA01;J01AA20
DB00619,Imatinib,,P11274,Breakpoint cluster region protein,BCR,inhibitor,L01EA01
DB00619,Imatinib,,P10721,Mast/stem cell growth factor receptor Kit,KIT,antagonist,L01EA01
DB00619,Imatinib,,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,inhibitor,L01EA01
DB00619,Imatinib,,P04629,High affinity nerve growth factor receptor,NTRK1,antagonist,L01EA01
DB00619,Imatinib,,P07333,Macrophage colony-stimulating factor 1 receptor,CSF1R,antagonist,L01EA01
DB00619,Imatinib,,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,antagonist,L01EA01
DB00619,Imatinib,,Q08345,Epithelial discoidin domain-containing receptor 1,DDR1,antagonist,L01EA01
DB00619,Imatinib,,P00519,Tyrosine-protein kinase ABL1,ABL1,inhibitor,L01EA01
DB00619,Imatinib,,P09619,Platelet-derived growth factor receptor beta,PDGFRB,antagonist,L01EA01
DB00619,Imatinib,,Q16832,Discoidin domain-containing receptor 2,DDR2,antagonist,L01EA01
DB00620,Triamcinolone,,P04150,Glucocorticoid receptor,NR3C1,agonist,D07AB09;R01AD11;R03BA06;D07BB03;A01AC01;H02AB08;D07CB01;S01BA05;D07XB02;S02CA04;C05AA12
DB00621,Oxandrolone,,P10275,Androgen receptor,AR,agonist,A14AA08
DB00622,Nicardipine,,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,inhibitor,C08CA04
DB00622,Nicardipine,,Q08289,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2,inhibitor,C08CA04
DB00622,Nicardipine,,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,inhibitor,C08CA04
DB00622,Nicardipine,,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,inhibitor,C08CA04
DB00622,Nicardipine,,P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",PDE1A,inhibitor,C08CA04
DB00622,Nicardipine,,Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",PDE1B,inhibitor,C08CA04
DB00622,Nicardipine,,P35348,Alpha-1A adrenergic receptor,ADRA1A,antagonist,C08CA04
DB00622,Nicardipine,,P35368,Alpha-1B adrenergic receptor,ADRA1B,antagonist,C08CA04
DB00622,Nicardipine,,P25100,Alpha-1D adrenergic receptor,ADRA1D,antagonist,C08CA04
DB00622,Nicardipine,,P11229,Muscarinic acetylcholine receptor M1,CHRM1,antagonist,C08CA04
DB00622,Nicardipine,,P08172,Muscarinic acetylcholine receptor M2,CHRM2,antagonist,C08CA04
DB00622,Nicardipine,,P20309,Muscarinic acetylcholine receptor M3,CHRM3,antagonist,C08CA04
DB00622,Nicardipine,,P08173,Muscarinic acetylcholine receptor M4,CHRM4,antagonist,C08CA04
DB00622,Nicardipine,,P08912,Muscarinic acetylcholine receptor M5,CHRM5,antagonist,C08CA04
DB00622,Nicardipine,,P0DP23,Calmodulin,CALM1,other/unknown,C08CA04
DB00622,Nicardipine,,Q06432,Voltage-dependent calcium channel,CACNG1,inhibitor,C08CA04
DB00622,Nicardipine,,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,inhibitor,C08CA04
DB00622,Nicardipine,,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H,CACNA1H,inhibitor,C08CA04
DB00622,Nicardipine,,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,inhibitor,C08CA04
DB00623,Fluphenazine,,P14416,Dopamine D2 receptor,DRD2,antagonist,N05AB02
DB00623,Fluphenazine,,P21728,Dopamine D1 receptor,DRD1,antagonist,N05AB02
DB00623,Fluphenazine,,P0DP23,Calmodulin,CALM1,inhibitor,N05AB02
DB00623,Fluphenazine,,P10275,Androgen receptor,AR,,N05AB02
DB00623,Fluphenazine,,P28223,5-hydroxytryptamine receptor 2A,HTR2A,,N05AB02
DB00623,Fluphenazine,,P28335,5-hydroxytryptamine receptor 2C,HTR2C,,N05AB02
DB00624,Testosterone,,P10275,Androgen receptor,AR,agonist,G03BA03;G03EA02
DB00624,Testosterone,,P03372,Estrogen receptor alpha,ESR1,inhibitor,G03BA03;G03EA02
DB00624,Testosterone,,P08235,Mineralocorticoid receptor,NR3C2,ligand,G03BA03;G03EA02
DB00625,Efavirenz,,Q72547,Reverse transcriptase/RNaseH,pol,inhibitor,J05AR06;J05AG03;J05AR11
DB00626,Bacitracin,,,C55-isoprenyl pyrophosphate,,antagonist,J01XX10;D06AX05;R02AB04
DB00626,Bacitracin,,P14735,Insulin-degrading enzyme,IDE,inhibitor,J01XX10;D06AX05;R02AB04
DB00626,Bacitracin,,P01023,Alpha-2-macroglobulin,A2M,inhibitor,J01XX10;D06AX05;R02AB04
DB00627,Niacin,,P49019,Hydroxycarboxylic acid receptor 3,HCAR3,agonist,C10AD02;C10AD52;C10BA01;C04AC01
DB00627,Niacin,,Q8TDS4,Hydroxycarboxylic acid receptor 2,HCAR2,agonist,C10AD02;C10AD52;C10BA01;C04AC01
DB00627,Niacin,,Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,binder,C10AD02;C10AD52;C10BA01;C04AC01
DB00627,Niacin,,P40261,Nicotinamide N-methyltransferase,NNMT,binder,C10AD02;C10AD52;C10BA01;C04AC01
DB00628,Clorazepic acid,,P14867,GABA(A) Receptor,GABRA1,positive allosteric modulator,N05BA05
DB00628,Clorazepic acid,,P14867,GABA(A) Receptor Benzodiazepine Binding Site,GABRA1,ligand,N05BA05
DB00629,Guanabenz,,P08913,Alpha-2A adrenergic receptor,ADRA2A,agonist,
DB00629,Guanabenz,,P18089,Alpha-2B adrenergic receptor,ADRA2B,binder,
DB00630,Alendronic acid,,P14324,Farnesyl pyrophosphate synthase,FDPS,inhibitor,M05BB03;M05BA04;M05BB06;M05BB05
DB00630,Alendronic acid,,,Hydroxylapatite,,antagonist,M05BB03;M05BA04;M05BB06;M05BB05
DB00630,Alendronic acid,,P29074,Tyrosine-protein phosphatase non-receptor type 4,PTPN4,inhibitor,M05BB03;M05BA04;M05BB06;M05BB05
DB00630,Alendronic acid,,Q13332,Receptor-type tyrosine-protein phosphatase S,PTPRS,inhibitor,M05BB03;M05BA04;M05BB06;M05BB05
DB00630,Alendronic acid,,P23469,Receptor-type tyrosine-protein phosphatase epsilon,PTPRE,inhibitor,M05BB03;M05BA04;M05BB06;M05BB05
DB00630,Alendronic acid,,P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,inhibitor,M05BB03;M05BA04;M05BB06;M05BB05
DB00631,Clofarabine,,,DNA,,other/unknown,L01BB06
DB00631,Clofarabine,,P09884,DNA polymerase alpha catalytic subunit,POLA1,inhibitor,L01BB06
DB00631,Clofarabine,,P23921,Ribonucleoside-diphosphate reductase large subunit,RRM1,inhibitor,L01BB06
DB00632,Docosanol,,P03200,Envelope glycoprotein GP350,,intercalation,D06BB11
DB00632,Docosanol,,P68344,Envelope glycoprotein GP340,,intercalation,D06BB11
DB00633,Dexmedetomidine,,P08913,Alpha-2A adrenergic receptor,ADRA2A,agonist,N05CM18
DB00634,Sulfacetamide,,P0AC13,Dihydropteroate synthase,folP,inhibitor,D10AF06;S01AB04;G01AE10
DB00634,Sulfacetamide,,P0C002,Dihydropteroate synthase type-1,sulI,inhibitor,D10AF06;S01AB04;G01AE10
DB00634,Sulfacetamide,,P53848,Folic acid synthesis protein FOL1,FOL1,inhibitor,D10AF06;S01AB04;G01AE10
DB00635,Prednisone,,P04150,Glucocorticoid receptor,NR3C1,agonist,A07EA03;H02AB07
